% ID	X	Y	Z	Power	direction
 0 	 0.000000 	 0.000000 	 35.000000 	 43.000000 	 0.000000 
 1 	 5542.562578 	 -0.000010 	 35.000000 	 43.000000 	 0.000000 
 2 	 2771.281280 	 4799.999979 	 35.000000 	 43.000000 	 0.000000 
 3 	 -2771.281298 	 4799.999990 	 35.000000 	 43.000000 	 0.000000 
 4 	 -5542.562578 	 0.000010 	 35.000000 	 43.000000 	 0.000000 
 5 	 -2771.281280 	 -4799.999979 	 35.000000 	 43.000000 	 0.000000 
 6 	 2771.281298 	 -4799.999990 	 35.000000 	 43.000000 	 0.000000 
 7 	 11085.125156 	 -0.000021 	 35.000000 	 43.000000 	 0.000000 
 8 	 8313.843858 	 4799.999969 	 35.000000 	 43.000000 	 0.000000 
 9 	 5542.562560 	 9599.999958 	 35.000000 	 43.000000 	 0.000000 
 10 	 -0.000018 	 9599.999969 	 35.000000 	 43.000000 	 0.000000 
 11 	 -5542.562596 	 9599.999979 	 35.000000 	 43.000000 	 0.000000 
 12 	 -8313.843876 	 4800.000000 	 35.000000 	 43.000000 	 0.000000 
 13 	 -11085.125156 	 0.000021 	 35.000000 	 43.000000 	 0.000000 
 14 	 -8313.843858 	 -4799.999969 	 35.000000 	 43.000000 	 0.000000 
 15 	 -5542.562560 	 -9599.999958 	 35.000000 	 43.000000 	 0.000000 
 16 	 0.000018 	 -9599.999969 	 35.000000 	 43.000000 	 0.000000 
 17 	 5542.562596 	 -9599.999979 	 35.000000 	 43.000000 	 0.000000 
 18 	 8313.843876 	 -4800.000000 	 35.000000 	 43.000000 	 0.000000 
 19 	 16627.687734 	 -0.000031 	 35.000000 	 43.000000 	 0.000000 
 20 	 13856.406436 	 4799.999958 	 35.000000 	 43.000000 	 0.000000 
 21 	 11085.125138 	 9599.999948 	 35.000000 	 43.000000 	 0.000000 
 22 	 8313.843840 	 14399.999937 	 35.000000 	 43.000000 	 0.000000 
 23 	 2771.281262 	 14399.999948 	 35.000000 	 43.000000 	 0.000000 
 24 	 -2771.281316 	 14399.999958 	 35.000000 	 43.000000 	 0.000000 
 25 	 -8313.843894 	 14399.999969 	 35.000000 	 43.000000 	 0.000000 
 26 	 -11085.125174 	 9599.999990 	 35.000000 	 43.000000 	 0.000000 
 27 	 -13856.406454 	 4800.000010 	 35.000000 	 43.000000 	 0.000000 
 28 	 -16627.687734 	 0.000031 	 35.000000 	 43.000000 	 0.000000 
 29 	 -13856.406436 	 -4799.999958 	 35.000000 	 43.000000 	 0.000000 
 30 	 -11085.125138 	 -9599.999948 	 35.000000 	 43.000000 	 0.000000 
 31 	 -8313.843840 	 -14399.999937 	 35.000000 	 43.000000 	 0.000000 
