% ID	X	Y	Z	Power	direction
 66 	 -13856.406454 	 4800.000010 	 35.000000 	 43.000000 	 120.000000 
 67 	 -16627.687734 	 0.000031 	 35.000000 	 43.000000 	 120.000000 
 68 	 -13856.406436 	 -4799.999958 	 35.000000 	 43.000000 	 120.000000 
 69 	 -11085.125138 	 -9599.999948 	 35.000000 	 43.000000 	 120.000000 
 70 	 -8313.843840 	 -14399.999937 	 35.000000 	 43.000000 	 120.000000 
 71 	 -2771.281262 	 -14399.999948 	 35.000000 	 43.000000 	 120.000000 
 72 	 2771.281316 	 -14399.999958 	 35.000000 	 43.000000 	 120.000000 
 73 	 8313.843894 	 -14399.999969 	 35.000000 	 43.000000 	 120.000000 
 74 	 11085.125174 	 -9599.999990 	 35.000000 	 43.000000 	 120.000000 
 75 	 13856.406454 	 -4800.000010 	 35.000000 	 43.000000 	 120.000000 
 76 	 22170.250313 	 -0.000042 	 35.000000 	 43.000000 	 120.000000 
 77 	 19398.969014 	 4799.999948 	 35.000000 	 43.000000 	 120.000000 
 78 	 0.000000 	 0.000000 	 35.000000 	 43.000000 	 -120.000000 
 79 	 5542.562578 	 -0.000010 	 35.000000 	 43.000000 	 -120.000000 
 80 	 2771.281280 	 4799.999979 	 35.000000 	 43.000000 	 -120.000000 
 81 	 -2771.281298 	 4799.999990 	 35.000000 	 43.000000 	 -120.000000 
 82 	 -5542.562578 	 0.000010 	 35.000000 	 43.000000 	 -120.000000 
 83 	 -2771.281280 	 -4799.999979 	 35.000000 	 43.000000 	 -120.000000 
 84 	 2771.281298 	 -4799.999990 	 35.000000 	 43.000000 	 -120.000000 
 85 	 11085.125156 	 -0.000021 	 35.000000 	 43.000000 	 -120.000000 
 86 	 8313.843858 	 4799.999969 	 35.000000 	 43.000000 	 -120.000000 
 87 	 5542.562560 	 9599.999958 	 35.000000 	 43.000000 	 -120.000000 
 88 	 -0.000018 	 9599.999969 	 35.000000 	 43.000000 	 -120.000000 
 89 	 -5542.562596 	 9599.999979 	 35.000000 	 43.000000 	 -120.000000 
 90 	 -8313.843876 	 4800.000000 	 35.000000 	 43.000000 	 -120.000000 
 91 	 -11085.125156 	 0.000021 	 35.000000 	 43.000000 	 -120.000000 
 92 	 -8313.843858 	 -4799.999969 	 35.000000 	 43.000000 	 -120.000000 
 93 	 -5542.562560 	 -9599.999958 	 35.000000 	 43.000000 	 -120.000000 
 94 	 0.000018 	 -9599.999969 	 35.000000 	 43.000000 	 -120.000000 
 95 	 5542.562596 	 -9599.999979 	 35.000000 	 43.000000 	 -120.000000 
 96 	 8313.843876 	 -4800.000000 	 35.000000 	 43.000000 	 -120.000000 
 97 	 16627.687734 	 -0.000031 	 35.000000 	 43.000000 	 -120.000000 
 98 	 13856.406436 	 4799.999958 	 35.000000 	 43.000000 	 -120.000000 
 99 	 11085.125138 	 9599.999948 	 35.000000 	 43.000000 	 -120.000000 
 100 	 8313.843840 	 14399.999937 	 35.000000 	 43.000000 	 -120.000000 
 101 	 2771.281262 	 14399.999948 	 35.000000 	 43.000000 	 -120.000000 
 102 	 -2771.281316 	 14399.999958 	 35.000000 	 43.000000 	 -120.000000 
 103 	 -8313.843894 	 14399.999969 	 35.000000 	 43.000000 	 -120.000000 
 104 	 -11085.125174 	 9599.999990 	 35.000000 	 43.000000 	 -120.000000 
 105 	 -13856.406454 	 4800.000010 	 35.000000 	 43.000000 	 -120.000000 
 106 	 -16627.687734 	 0.000031 	 35.000000 	 43.000000 	 -120.000000 
 107 	 -13856.406436 	 -4799.999958 	 35.000000 	 43.000000 	 -120.000000 
 108 	 -11085.125138 	 -9599.999948 	 35.000000 	 43.000000 	 -120.000000 
 109 	 -8313.843840 	 -14399.999937 	 35.000000 	 43.000000 	 -120.000000 
 110 	 -2771.281262 	 -14399.999948 	 35.000000 	 43.000000 	 -120.000000 
 111 	 2771.281316 	 -14399.999958 	 35.000000 	 43.000000 	 -120.000000 
 112 	 8313.843894 	 -14399.999969 	 35.000000 	 43.000000 	 -120.000000 
 113 	 11085.125174 	 -9599.999990 	 35.000000 	 43.000000 	 -120.000000 
 114 	 13856.406454 	 -4800.000010 	 35.000000 	 43.000000 	 -120.000000 
 115 	 22170.250313 	 -0.000042 	 35.000000 	 43.000000 	 -120.000000 
 116 	 19398.969014 	 4799.999948 	 35.000000 	 43.000000 	 -120.000000 
