% RxNodeID	FreqInGHz	BandwidthMHz	N0	RSSI	BestRSRP	BestRSRPNode	BestSINR	RoIDbm
8331	0.7	20	-100.88970004336021	-63.6666940431998	-66.51001348527264	93	0.34063881790845585	-1000
11369	0.7	20	-100.88970004336021	-58.77736816913099	-58.795131446423696	60	23.873727493235776	-1000
38296	0.7	20	-100.88970004336021	-77.56432639561723	-80.85603129018494	30	-0.5456802939086316	-1000
3873	0.7	20	-100.88970004336021	-57.16066768072878	-57.19913505609611	7	20.507669674920642	-1000
10977	0.7	20	-100.88970004336021	-63.52667080245415	-63.621272646879845	20	16.5714602905839	-1000
31003	0.7	20	-100.88970004336021	-77.0435689199245	-77.54151493701724	66	9.154668875108172	-1000
31005	0.7	20	-100.88970004336021	-76.38955359620911	-76.84423520766158	66	9.571445142452262	-1000
2767	0.7	20	-100.88970004336021	-61.10903912489299	-61.15708247520676	44	19.537466439013052	-1000
10138	0.7	20	-100.88970004336021	-60.82258459904317	-60.90576205212294	19	17.1361318299994	-1000
20012	0.7	20	-100.88970004336021	-60.24250663925473	-60.268224856256985	37	22.262569094306926	-1000
26522	0.7	20	-100.88970004336021	-74.05242841746984	-74.72578803300115	54	7.7543434209970314	-1000
16928	0.7	20	-100.88970004336021	-59.874666243470216	-59.977810932196746	32	16.191700003366435	-1000
24238	0.7	20	-100.88970004336021	-75.12108637781665	-75.99407469147096	48	6.523955366874262	-1000
23844	0.7	20	-100.88970004336021	-76.5689788481964	-78.24384880227332	47	3.273717216583165	-1000
24373	0.7	20	-100.88970004336021	-75.44940954630087	-76.71357929955991	10	4.712382516994424	-1000
2585	0.7	20	-100.88970004336021	-55.992618530692404	-56.00780250089876	43	24.55639548674027	-1000
6012	0.7	20	-100.88970004336021	-51.78070237830296	-51.78573720375866	50	29.355481264168745	-1000
18561	0.7	20	-100.88970004336021	-54.039239645473565	-54.04578296484065	113	28.21658986344307	-1000
23071	0.7	20	-100.88970004336021	-75.57880278959529	-76.58300255683645	84	5.847871512763987	-1000
8326	0.7	20	-100.88970004336021	-52.454436511367966	-52.46043873769	54	28.59171798364659	-1000
13554	0.7	20	-100.88970004336021	-52.47006029917245	-52.47268825078945	25	32.1803554189262	-1000
28525	0.7	20	-100.88970004336021	-75.88172432795255	-76.43185748096296	21	8.695195123712253	-1000
37642	0.7	20	-100.88970004336021	-63.98575504782495	-64.05661474806973	102	17.838371981850784	-1000
22866	0.7	20	-100.88970004336021	-75.24112360935932	-76.12855928685121	6	6.445203294204205	-1000
30394	0.7	20	-100.88970004336021	-73.78100888097131	-74.31026982229757	26	8.873827052863916	-1000
2823	0.7	20	-100.88970004336021	-61.35442784149673	-61.41312033867361	5	18.66263793721427	-1000
5304	0.7	20	-100.88970004336021	-64.63309112748512	-64.77573424076277	9	14.763818256051422	-1000
15426	0.7	20	-100.88970004336021	-67.06043536025284	-67.16996050935873	68	15.927826919577413	-1000
18002	0.7	20	-100.88970004336021	-52.07709813246047	-52.080862141905186	34	30.619453927400556	-1000
9105	0.7	20	-100.88970004336021	-61.30374903925251	-61.394537799646905	56	16.752048788765315	-1000
25588	0.7	20	-100.88970004336021	-72.82871884360601	-73.37788155872101	13	8.703358318314926	-1000
8377	0.7	20	-100.88970004336021	-52.88664420134743	-52.89327675781267	54	28.15771685302518	-1000
32820	0.7	20	-100.88970004336021	-75.02103926064679	-75.40603798051218	110	10.329328914839735	-1000
38501	0.7	20	-100.88970004336021	-77.46966050305633	-80.48306110900782	71	-0.0061990864912502275	-1000
24588	0.7	20	-100.88970004336021	-73.4612466549292	-74.11113555403585	88	7.920456108212619	-1000
26297	0.7	20	-100.88970004336021	-72.55616681869391	-73.04665302130536	15	9.224024187092908	-1000
